gid,__gid,objectid,uf,pnv,tipo,administra,codigo,contador,coincide1,contador1,coincide2,contador2,coincide3,contador3,coincide,concessao,oaes,fonte,observacao,adequacao,ext_trecho,lado,complement,lado_km,codigo_uni,fotodir,km_i_trech,km_f_trech,nome,mp082_2002,buffer,ar_mm,ar_mm_dist,ar_rh,ar_rh_dist,pcd_cem,pcd_cem_di,rdr_cem,rdr_cem_di,pcd_out,pcd_out_di,rdr_out,rdr_out_di,indice,md_radar,indice_1,degree,degree_in,degree_out,clustering_coeff,avg_shortest_path,betweeness,closeness,vulnerab,infinity,infinity_norm
290,23040,18287,SC,,Pavimentada,Estadual,SC-114,0E-15,,0E-15,,0E-15,,0E-15,,,,Mapa DER 2005,,,22.173772388000000,,,0E-15,SC114,,0E-15,0E-15,,,"SRID=4326;POLYGON((-54.8246003803623 -27.1830407407856,-54.8635722953496 -27.0219190660744,-54.8711487872146 -26.9677028207489,-54.881215579621 -26.8913847451423,-54.8814942955447 -26.8891385143061,-54.9160978613164 -26.4591136654091,-54.9162050415784 -2",24225,20.701961715976001,3687,17.144872059114000,7405,0.004873375270000,37,810.661523987109945,570,21.400224936535000,25,95.637911957650005,0.00487338,95.6379,0.487,2,2,2,1.00,37.0028,0.000000,0.0012,0.000827,1258592,0.533808
291,23046,18331,SC,280BSC0090,Pavimentada,Federal,BR-280,53.000000000000000,,0E-15,,0E-15,,0E-15,,,,GPS,,,6.273033051680000,S,,0E-15,SC280S,,121.024673499000002,127.297706550000001,,,"SRID=4326;POLYGON((-51.6536231479886 -21.730990805281,-51.7182990075766 -21.7539764865083,-51.6382810268958 -21.7157329863694,-51.6382737162463 -21.7157295716576,-51.5959499926785 -21.6977442484601,-51.5835573474075 -21.6906003219149,-51.5617824388199 -2",30069,0.242838712031000,3380,0E-15,6271,1.033975638076000,37,832.501927310000951,1657,5.692428991426000,25,117.459776074659004,1.03398,117.46,0.73492,3,3,3,0.33,51.2351,3590.000000,0.0012,0.003017,1265772,0.536854
292,23050,18336,SC,116BSC2891,Pavimentada,Federal,BR-116,34.000000000000000,,0E-15,,0E-15,,0E-15,,OHL,,GPS,,TFD,0.330034795160000,S,,0E-15,SC116S,,107.580587645999998,107.910622441000001,,,"SRID=4326;POLYGON((-54.9132935217382 -28.7586708704732,-54.908811528289 -28.7567110129937,-55.2046252015387 -27.8808811204635,-55.33107938957 -26.908901018729,-55.2654798847957 -25.9309272538396,-55.0103476393958 -24.9845428091261,-54.5754872424811 -24.1",24497,21.818598248871002,3432,26.580578256199001,4024,24.810140263988000,37,832.259998566855984,1708,16.926943421166001,25,138.253481367259013,16.9269,138.253,0.761521,2,2,2,0.00,19.9557,29416.703968,0.0012,0.002995,1258592,0.533808
293,23058,18425,SC,,Pavimentada,Estadual,SC-280,84.000000000000000,,0E-15,,0E-15,,0E-15,BR-280,,,GPS,,,0.597215984170000,S,,0E-15,SC280S,,229.872276470999992,230.469492454999994,,,"SRID=4326;POLYGON((-52.1482230126047 -21.5385830459748,-52.156211885572 -21.5176138697227,-52.1561945168287 -21.5176072525489,-51.9461305023768 -21.4604123499031,-51.720039960044 -21.3729590590837,-51.4552762951317 -21.326765667629,-51.2777035137335 -21.",24225,57.643145624006998,3326,2.447127532019000,7393,2.137411624510000,37,777.058658354599970,573,11.713411568091001,25,75.869487989782996,2.13741,75.8695,0.648798,3,3,3,0.33,23.4329,14071.629365,0.0012,0.001592,1258592,0.533808
294,23061,18428,SC,280BSC0115,Pavimentada,Federal,BR-280,80.000000000000000,,0E-15,,0E-15,,0E-15,,,PE,GPS,,,0.059967602960000,S,,0E-15,SC280S,C:\DNIT_FOTOS\SC\FOTOS\OAES\\1456,227.703146315999987,227.763113919000006,,,"SRID=4326;MULTIPOLYGON(((-51.1962314049598 -21.2581894474863,-51.1978301713929 -21.2584459522642,-51.196399033515 -21.2582013610859,-51.1962314049598 -21.2581894474863)),((-51.1459525174774 -21.2546160555177,-50.2186937863036 -21.1887144600637,-49.246218",24225,55.485376139857003,3326,3.590474519529000,7393,4.161203441690000,37,778.193178676139951,573,10.783133215715999,25,75.510095672828996,4.1612,75.5101,0.646705,2,2,2,0.00,26.5035,37962.000000,0.0012,0.028846,1334516,0.566010
295,23064,18462,SC,116BSC2875,Pavimentada,Federal,BR-116,20.000000000000000,,0E-15,,0E-15,,0E-15,,OHL,,GPS,,TFD,1.021840229600000,S,,0E-15,SC116S,,25.115495385999999,26.137335615600001,,,"SRID=4326;POLYGON((-47.1143030183055 -30.3907452350448,-47.6944987711603 -30.7570490013499,-48.609469071213 -31.1085676066328,-49.5754363514101 -31.2748300300095,-50.5552790308943 -31.2494468997909,-51.5113423049951 -31.0333936754363,-52.4068851982554 -3",24225,22.247066201481001,3687,18.690256641975001,7405,3.094989340668000,37,811.141123500688991,570,22.945482186741000,25,96.334436515787004,3.09499,96.3344,0.677389,2,2,2,0.00,39.9765,722.000000,0.0012,0.001357,1260036,0.534421
296,23072,18566,SC,116BSC2891,Pavimentada,Federal,BR-116,31.000000000000000,,0E-15,,0E-15,,0E-15,,OHL,,GPS,,,27.478024796200000,S,,0E-15,SC116S,,59.788270218100003,87.266295014400001,,,"SRID=4326;POLYGON((-55.2143398529167 -26.9191375135952,-55.217663003057 -26.9193469770037,-55.2239657052339 -26.8193542108673,-55.2325737165609 -26.6186086036093,-55.2325779849674 -26.6184210927446,-55.2334365653287 -26.4385768432162,-55.2334339493408 -2",24497,30.735914675406999,3432,29.093789138813001,6969,0.961800773256000,37,803.957479437615007,1708,0.770613590525000,25,98.262694293295993,0.770614,98.2627,0.671544,3,3,3,0.33,22.3804,27664.203968,0.0012,0.002158,1258592,0.533808
297,23073,18633,SC,116BSC2830,Pavimentada,Federal,BR-116,1.000000000000000,,0E-15,,0E-15,,0E-15,,OHL,PE,GPS,,,0.144969759540000,S,,0E-15,SC116S,C:\DNIT_FOTOS\SC\FOTOS\OAES\\1482,0E-15,0.144969759540000,,,"SRID=4326;MULTIPOLYGON(((-53.5708570279504 -22.8439330473936,-53.582569395656 -22.857405430162,-53.5716370551701 -22.844677911236,-53.5716293847698 -22.8446690115476,-53.5708570279504 -22.8439330473936)),((-53.5509147763319 -22.8249304543231,-52.86202733",24225,1.985745914957000,3687,0E-15,6393,1.272168336344000,37,804.430258976913024,570,1.601790476818000,25,88.437259945150998,1.27217,88.4373,0.676875,4,4,4,0.50,49.4343,2160.000000,0.0012,0.002168,1262912,0.535641
298,23075,18635,SC,116BSC2830,Pavimentada,Federal,BR-116,4.000000000000000,,0E-15,,0E-15,,0E-15,,OHL,,GPS,,,0.036702630920000,S,,0E-15,SC116S,,0.250872354170000,0.287574985090000,,,"SRID=4326;MULTIPOLYGON(((-53.3457353397488 -22.6015258868602,-53.7571382835431 -23.0728934893621,-53.5219773065943 -22.787960989528,-53.521957031163 -22.7879381935213,-53.3801975859755 -22.6350945883173,-53.3801734299365 -22.6350696087632,-53.34573533974",24225,1.890715948551000,3687,0E-15,6393,1.264182966166000,37,804.494042626106989,570,1.519198931921000,25,88.486824532838995,1.26418,88.4868,0.676974,2,2,2,0.00,46.4716,4302.000000,0.0012,0.003637,1267196,0.537458
299,23078,18638,SC,116BSC2830,Pavimentada,Federal,BR-116,7.000000000000000,,0E-15,,0E-15,,0E-15,,OHL,V,GPS,,,0.021800277860000,S,,0E-15,SC116S,C:\DNIT_FOTOS\SC\FOTOS\OAES\\1487,1.332626082390000,1.354426360250000,,,"SRID=4326;MULTIPOLYGON(((-53.3643390248699 -22.6247358814135,-53.461161337801 -22.7260231227627,-53.4609848077562 -22.7258321311409,-53.3734474966948 -22.633511696116,-53.3734166802085 -22.6334800130201,-53.3643390248699 -22.6247358814135)),((-53.3509224",24225,1.683712559710000,3687,0.443093518070000,6640,1.036270405229000,37,805.066114527941977,570,1.621652716139000,25,89.012582533713001,1.03627,89.0126,0.677493,2,2,2,0.00,43.5339,6426.000000,0.0012,0.005214,1271444,0.539259
